,Word,Definition
2258,ПП,профильный прокат
2259,ПП,полигонометрический пункт
2260,ПП,подстилающая поверхность
2261,ПП,прямой плоский
2262,ПП,прямая поставка
2263,ПП,пеленгационный пост
2264,ПП,Прогрессивная партия
2265,ПП,производственное предприятие
2266,ПП,подъездной путь
2267,ПП,пассажирские перевозки
2268,ПП,панельный переключатель
2269,ПП,поручение правительства
2270,ПП,промежуточный пароперегреватель;
2271,ПП,Павел Погребняк
2272,ПП,потенциал покоя
2273,ПП,«Покровский пассаж»
2274,ПП,«Паблик пресс»
2275,ПП,прикладная программа
2276,ПП,«Первомайский парк»
2277,ПП,передний план
2278,ПП,предельная производительность
2279,ПП,поисковый потенциал
2280,ПП,пар перегретый
2281,ПП,пакет программ
2282,ПП,приёмный прибор
2283,ПП,приоритетный проект
2284,ПП,помпа погружная
2285,ПП,плита покрытия
2286,ПП,пеший патруль
2287,ПП,первичный полуфабрикат
2288,ПП,пешеходный переход
2289,ПП,процентный период
2290,ПП,положение о подразделении
2291,ПП,полоса пропускания
2292,ПП,преобразовательная подстанция
2293,ПП,плата за присоединение
2294,ПП,пункт приёма
2295,ПП,полупансион
2296,ПП,пневматический привод
2297,ПП,производный продукт
2298,ПП,повышенная прочность
2299,ПП,паропровод
2300,ПП,простое предложение
2301,ПП,пункт полиции
2302,ПП,профиль потолочный
2303,ПП,План Путина
2304,ПП,портативный пирометр
2305,ПП,правильное питание
2306,ПП,пневматический перфоратор
2307,ПП,проект планировки
2308,ПП,Павел Пепперштейн
2309,ПП,Павловский Посад
2310,ПП,понизительная подстанция
2311,ПП,протяжённые препятствия
2312,ПП,панкреатический полипептид
2313,ПП,принимающий прибор
2314,ПП,программный продукт
2315,ПП,прямой профиль
2316,ПП,пульт-панель
2317,ПП,пункт перевалки
2318,ПП,путевой пеленг
2319,ПП,пилотажный прибор
2320,ПП,пластинчатый переключатель
2321,ПП,пластинчатый питатель
2322,ПП,платинородий-платина
2323,ПП,платёжное поручение
2324,ПП,печатная плата
2325,ПП,передний привод
2326,ПП,показатель преломления
2327,ПП,«Пензенская правда»
2328,ПП,память программ
2329,ПП,«Прогноз погоды»
2330,ПП,пожарный прицеп
2331,ПП,прошу переговорить
2332,ПП,профессиональная пенсия
2333,ПП,прямая продажа
2334,ПП,процесс планирования
2335,ПП,пищевые производства
2336,ПП,правила приёма
2337,ПП,переходные процессы
2338,ПП,прокалочная печь
2339,ПП,плазменная панель
2340,ПП,предположим противное
2341,ПП,промышленная переработка
2342,ПП,Павлово Поле
2343,ПП,промежуточное потребление
2344,ПП,производственный персонал
2345,ПП,«Предприниматель Петербурга»
2346,ПП,прикладные процессы
2347,ПП,продукты питания
2348,ПП,правое предсердие
2349,ПП,производственная практика
2350,ПП,плиты перекрытия
2351,ПП,пневмоперитонеум
2352,ПП,Пётр Пустота
2353,ПП,«Поколение П»
2354,ПП,природный парк
2355,ПП,«Поросёнок Пётр»
2356,ПП,панель преобразовательная
2357,ПП,послеоперационный период
2358,ПП,повторное посещение
2359,ПП,"парентеральное питание
парентеральная поддержка"
2360,ПП,подсобный пионер
2361,ПП,периодическая продувка
2362,ПП,предпроектные проработки
2363,ПП,партнёрская программа
2364,ПП,пиротехническая продукция
2365,ПП,«Псковская правда»
2366,ПП,полный привод
2367,ПП,противопожарный
2368,ПП,«Полный пока»
2369,ПП,пристрелочный пулемёт
2370,ПП,процессное производство
2371,ПП,панорамный прицел
2372,ПП,переносный прожектор
2373,ПП,полоса препятствий
2374,ПП,понтонный парк
2375,ПП,переходный пункт
2376,ПП,пассажиропоток
2377,ПП,пирокластический поток
2378,ПП,полупальто
2379,ПП,поверхностный поляритон
2380,ПП,"подожди, пожалуйста;
пожалуйста, подождите"
2381,ПП,пункт пропуска
2382,ПП,Президентская программа
2383,"ПП, П",правила поведения
2384,"ПП, П.п., ппц",«полный пиздец»
2385,"ПП, ПП-",пистолет-пулемёт
2386,"ПП, ПП-",первичный преобразователь
2387,"ПП, ППП",пост первой помощи
2388,"ПП, ППР",полипропилен
2389,"ПП, ППог",пункт погрузки
2390,"ПП, ППос",пункт посадки
2391,"ПП, ПСП",предстартовая подготовка
2392,"ПП, ПмПд, ПРМ",приёмопередатчик
2393,"ПП, ПрП",прессовое производство
2394,"ПП, Пс",пассажирский поезд
2395,"ПП, п/п",пароперегреватель
2396,"ПП, п/п",платёжное поручение
2397,"ПП, п/п",подлинная подпись
2398,"ПП, п/п",полевая почта
2399,"ПП, п/п",полуприцеп
2400,"ПП, п/п",приёмный пункт
2401,"ПП, пп",подпункт
2402,"ПП, пп",полный песец
2403,"ПП, предправления",председатель правления
2404,"ПП, промплощадка",промышленная площадка
2405,"ПП, промпродукт",промежуточный продукт
2406,"ПП, промпроизводство",промышленное производство
2407,ПП-,подрывной патрон
2408,ПП-,перфополоса
2409,ПП-,переносный потенциометр
2410,ПП-,патрубок приборный
2411,"ПП-, ППН",плуг полунавесной
2412,ППЛ,полунавесной плуг-лущильник
2413,ППЛ,параплан
2414,ППЛ,прогулочная подводная лодка
2415,ППЛ,пункт помощи легкораненым
2416,ППЛ,принцип полилинейности
2417,ППЛ,пиропатрон латунный
2418,ППЛ,Профессиональная психотерапевтическая лига
2419,ППЛ,полупроводниковый лазер
2420,ППЛ,программа поощрения лояльности
2421,ППЛК,периферическая профилактическая лазерная коагуляция
2422,"ППЛК, ППЛ",программа повышения лояльности клиентов
2423,ППН,природный парк «Налычево»
2424,ППН,патрульно-постовой наряд
2425,ППН,пункт повышения напряжения
2426,ППН,пункт подогрева нефти
2427,ППН,преобразователь постоянного напряжения
2428,ППН,промышленно-производственное назначение
2429,ППН,предварительная подготовка нефти
2430,ППН,пункт перевалки нефти
2431,ППН,предохранитель плавкий наполненный
2432,ППН,Партия пакистанского народа
2433,ППН,плуг плантажный навесной
2434,ППН,придаточные пазухи носа
2435,ППН,печь прямого нагрева нефти
2436,ППН,подвижный пункт наведения
2437,ППН,передовой пункт наведения
2438,ППН,"пункт постоянного наблюдения
постоянный пункт наблюдений"
2439,ППН,продукция производственного назначения
2440,ППН,подготовка и перекачка нефти
2441,ППН,пункт подготовки нефти
2442,ППН,профилактика правонарушений
2443,"ППН, ППНП",подводный переход нефтепровода
2444,ППНП,Политическая партия «Новая политика»
2445,ППНП,"производство предметов народного потребления
завод по производству предметов народного потребления"
2446,ППОС,первичная профсоюзная организация студентов
2447,ППП,«Правила полёта по приборам»
2448,ППП,противопехотное препятствие
2449,ППП,Программа парашютной подготовки
2450,ППП,пакет прикладных программ
2451,ППП,Премиум Пивоварни Петербурга
2452,ППП,полупроводниковый прибор
2453,ППП,переключатель «приём-передача»
2454,ППП,периферийный пеленгаторный пункт
2455,ППП,повсеместно протянутая паутина
2456,ППП,проект повторного применения
2457,ППП,плоско-параллельная пластина
2458,ППП,предпроектная и проектная подготовка
2459,ППП,проектирование программного продукта
2460,ППП,полипропилен прозрачный
2461,ППП,праксис позы пальцев
2462,ППП,Предприятие по поставкам продукции
2463,ППП,«Правила производства полётов»
2464,ППП,«продукты простого приготовления»
2465,ППП,пункт приёма платежей
2466,ППП,пучково-плазменный прибор
2467,ППП,промежуточный перегрев пара
2468,ППП,производственная пенсионная программа
2469,ППП,проектирование производственного процесса
2470,ППП,Программа прямой помощи
2471,ППП,постановка пассивных помех
2472,ППП,Партия праведного пути
2473,ППП,поверхностные плазмоны поляритонов
2474,ППП,Паризер — Парр — Попл
2475,ППП,прерывающая подпрограмма
2476,ППП,поставка против платежа
2477,ППП,пункт первой помощи
2478,ППП,противопожарная перегородка
2479,ППП,полковой патронный пункт
2480,ППП,Пассажирские перевозки Пензы
2481,ППП,передовой перевязочный пункт
2482,ППП,программа профессиональной переподготовки
2483,ППП,"премии, переданные в перестрахование"
2484,ППП,полное парентеральное питание
2485,ППП,передвижной пункт полиции
2486,ППП,Патриотическая партия Приднестровья
2487,ППП,передающиеся половым путем
2488,ППП,производственный потенциал предприятия
2489,ППП,процент прочих примесей
2490,ППП,производственная программа претендента
2491,ППП,постоянный полный привод
2492,ППП,«после праздничных продаж»
2493,ППП,порошок периклазовый плавленый
2494,ППП,Партия политики Путина
2495,ППП,промышленно-производственное предприятие
2496,ППП,производственно-полиграфическое предприятие
2497,ППП,прививка против полиомиелита
2498,ППП,"политика, преферанс, программирование"
2499,ППП,"подвижный пункт питания
подвижной пункт питания"
2500,ППП,пружинно-поршневая пневматика
2501,ППП,президент переходного периода
2502,ППП,подземный пешеходный переход
2503,ППП,право первой палки
2504,ППП,пожарный пеноподъемник
2505,ППП,перевязочно-питательный пункт
2506,ППП,прочие побочные примеси
2507,ППП,приёмник прямого преобразования
2508,ППП,плановое почасовое потребление
2509,ППП,полимерно-порошковое покрытие
2510,ППП,правила полётов по приборам
2511,ППП,пограничный пропускной пункт
2512,ППП,преимущественное право покупки
2513,ППП,Петербургский правовой портал
2514,ППП,«пятилетка пышных похорон»
2515,ППП,правительственный переговорный пункт
2516,ППП,полистирол-полибутадиен-полистирол
2517,ППП,перечень прямых получателей [средств]
2518,ППП,план поступлений и платежей
2519,ППП,проектно-производственное предприятие
2520,ППП,"производственно-промышленный персонал
промышленно-производственный персонал"
2521,ППП,прокатно-прессовое производство
2522,ППП,пособники и потворщики преступлений
2523,ППП,"постоянный половой партнёр;
половой партнёр постоянный"
2524,ППП,Помощь православным переселенцам
2525,"ППП, П. П. П.",перстень Порфирия Петровича
2526,"ППП, ПППРФ",полномочный представитель Президента РФ
2527,"ППП, ППР","первичное публичное размещение
первичное публичное предложение
первоначальное публичное предложение"
2528,"ППП, п.п.п.","потери при прокаливании;
потери при прокалке"
2529,ППР,пожарная подставка раструбная
2530,ППР,Правила противопожарного режима
2531,ППР,подразделение психореаниматологии
2532,ППР,проект профиля риска
2533,ППР,поддержка принятия решений
2534,ППР,птицеплемрепродуктор
2535,ППР,процедура принятия решений
2536,ППР,партийно-политическая работа
2537,ППР,пружинный привод ручной
2538,ППР,Пиратская партия России
2539,ППР,Педиатры против рака
2540,ППР,планово-профилактические работы
2541,ППР,"превентор плашечный ручной;
превентор плашечный с ручным управлением"
2542,ППР,планово-предупредительные работы
2543,ППР,период полураспада
2544,ППР,план производства работ
2545,ППР,промышленность и природные ресурсы
2546,ППР,предварительная подготовка ракет
2547,ППР,пульт помощника режиссёра
2548,ППР,псевдополиротаксан
2549,ППР,первичный преобразователь расхода
2550,ППР,патрубок приёмо-раздаточный
2551,ППР,плотность потока радона
2552,ППР,план перспективного развития
2553,ППР,подборщик-погрузчик роторный
2554,ППР,планово-предупредительный ремонт
2555,ППР,пограничный перегрузочный район
2556,ППР,пункт переправы раненых
2557,ППР,Прогрессивная партия реформ
2558,ППР,"«попиздели - разошлись»;
«посидели, попиздели - и разошлись»"
2559,ППР,промыслово-производственный рефрижератор
2560,ППР,проект производства работ
2561,ППР,Польская рабочая партия
2562,ППР,Патриотическая партия России
2563,ППР,первый президент России
2564,ППР,приостановление предварительного расследования
2565,ППР,поверхностно-плазменный резонанс
2566,ППР,Политическая партия радикалов
2567,ППР,после последнего ремонта
2568,ППР,преждевременное половое развитие
2569,ППР,пункт перегрузки ракет
2570,ППР,пучково-плазменный разряд
2571,ППР,Политические процессы в России
2572,ППЦ,полипептидная цепь
2573,ППЦ,приёмно-передающий центр
2574,ППЦ,"период производственного цикла;
продолжительность производственного цикла"
2575,ППЦ,полномочный представитель центра
2576,ППЦ,персонализационно-процессинговый центр
2577,ППЦ,полуприцеп-цистерна
2578,ППЦ,полный производственный цикл
2579,ППЦ,Польская православная церковь
2580,ППЦ,программа проверенных цен
2581,ППЦ,производственно-продюсерский центр
2582,ППЦ,пункт подготовки цистерн
2583,ППЦ,преобразователь прямой ЦНИИТМАШ
2584,ППЦ,прикладной потребительский центр
2585,"ППЦ, ппц",пипец
2586,ПР,Польская Республика
2587,ПР,предварительное расследование
2588,ПР,разрушающийся перфоратор кумулятивный
2589,ПР,планировочный район
2590,ПР,парковый ресурс
2591,ПР,старший ревизор службы пути
2592,ПР,«Просторы России»
2593,ПР,перекрестная резистентность
2594,ПР,пункт распределительный
2595,ПР,пожарный робот
2596,ПР,партизанский рекрутинг
2597,ПР,природный резерват
2598,ПР,проникающая радиация
2599,ПР,престижная реклама
2600,ПР,"принятие решения
принятие решений"
2601,ПР,профилактический ремонт
2602,ПР,«Приднестровье»
2603,ПР,пенсионный резерв
2604,ПР,промышленный регламент
2605,ПР,профиль рисков
2606,ПР,проектное решение
2607,ПР,подразделение ректората
2608,ПР,предельный режим
2609,ПР,пост регулирования
2610,ПР,поляризованное реле
2611,ПР,позиционный район
2612,ПР,плоский рифленый абразивный круг
2613,ПР,перфоратор ручной
2614,ПР,проект разработки
2615,ПР,«Прямая речь»
2616,ПР,постреляционный
2617,ПР,промышленный робот
2618,ПР,плуг ротационный
2619,ПР,палоделатель-разравниватель
2620,ПР,проходная сторона калибра
2621,ПР,произведение растворимости
2622,ПР,полоса руления
2623,ПР,полоса разрушения
2624,ПР,подвижная радиостанция
2625,ПР,пескоразбрасыватель
2626,ПР,«Промышленник России»
2627,ПР,пусковой реостат
2628,ПР,Пусси Райот
2629,ПР,Палата регионов
2630,ПР,предметная рубрика
2631,ПР,первенство России
2632,ПР,процентный риск
2633,ПР,постепенная рубка
2634,ПР,пуск разрешён
2635,ПР,периодическая работа
2636,ПР,«Подольский рабочий»
2637,ПР,поздний рефлекс
2638,ПР,преждевременные роды
2639,ПР,приспособительная реакция
2640,ПР,пусковое реле
2641,ПР,«Приазовский рабочий»
2642,ПР,переключатель ртутный
2643,ПР,преобразователь расхода
2644,ПР,пусковая рама
2645,ПР,паблик рилейшнз
2646,ПР,"противоракета
противоракетный"
2647,ПР,проект разработки
2648,ПР,переводной рубль
2649,ПР,палка резиновая
2650,"ПР, ПРУ","Партия регионов;
Партия регионов Украина"
2651,"ПР, промрайон",промышленный район
2652,ПРБ,Приднестровский республиканский банк
2653,ПРБ,«Первый республиканский банк»
2654,ПРБ,поисково-разведочное бурение
2655,ПРБ,путерихтовщик Балашенко
2656,ПРБ,планово-распределительное бюро
2657,ПРБ,подвижная ремонтная база
2658,ПРБ,производственная ремонтная база
2659,ПРБ,Первый русский банк
2660,ПРБ,персональный радиобуй
2661,ПРБ-,парашютная ракета бедствия
2662,ПРГ,пролактин-рилизинг-гормон
2663,ПРГ,постоянная рабочая группа
2664,ПРГ,проникающее ранение груди
2665,ПРГ,право решающего голоса
2666,ПРГ,пункт редуцирования газа
2667,ПРГ,противотанковый ручной гранатомет
2668,ПРГ,передающий преобразователь
2669,ПРГ,Партия русской государственности
2670,ПРГ,«Пермрегионгаз»
2671,ПРГ,проектная рабочая группа
2672,ПРГ,Петербургрегионгаз
2673,ПРД,"пороховой ракетный двигатель
пороховой реактивный двигатель"
2674,ПРД,Партия реформистской демократии
2675,ПРД,правила разграничения доступа
2676,ПРД,полный рабочий день
2677,ПРД,прямоточно-реактивный двигатель
2678,ПРИК,Программа развития и интеграции Крыма
2679,ПРИМА,процессы и машины в агробизнесе
2680,ПРК,персональный радиолюбительский компьютер
2681,ПРК,производственно-распределительный комплекс
2682,ПРК,передняя радиальная кератотомия
2683,ПРК,производственный радиационный контроль
2684,ПРК,парораспределительный коридор
2685,ПРК,пускорезервная котельная
2686,ПРК,прямая ртутно-кварцевая
2687,ПРК,пункт радиоконтроля
2688,ПРК,противоракетный комплекс
2689,ПРК,персональный раздел клиента
2690,ПРК,Первая русская конференция
2691,ПРК,подвижный ракетный комплекс
2692,ПРК,палата по разрешению конфликтов
2693,ПРК,представитель руководства по качеству
2694,ПРК,плавучий разборный кран
2695,ПРК,продукты растворения коллагена
2696,ПРК,производственно-рекламный комбинат
2697,ПРК,повторный радиоактивный каротаж
2698,ПРК,прибор расчёта корректур
2699,ПРК,пункт радиационного контроля
2700,ПРЛ,пассивный радиолокационный
2701,ПРЛ,пограничное расстройство личности
2702,ПРЛ,подповерхностная радиолокация
2703,ПРЛ,противорадиолокационный
2704,ПРЛ,пролактин
2705,ПРЛ,устройство приварки рекламной ленточки
2706,ПРЛ,плоскоклеточный рак лёгкого
2707,ПРЛ,посадочный радиолокатор
2708,ПРЛ,подвижная радиологическая лаборатория
2709,ПРЛ,показатель максимального размера кредитного риска на связанное с банком лицо
2710,ПРЛ,передвижная радиометрическая лаборатория
2711,ПРМ,подвижная ремонтная мастерская
2712,ПРМ,программируемый радиометрический модуль
2713,ПРМ,приводной радиомаяк
2714,ПРМ,прагматика
2715,ПРМ,пульт рабочего места
2716,ПРМ,Программа ради мира
2717,ПРМ,перекрёстно-реагирующий материал
2718,ПРМ,противоракетный манёвр
2719,ПРМ,полное рабочее место
2720,ПРМ,«Партнёрство ради мира»
2721,ПРМ-,путеремонтная машина
2722,ПРОЛ,Профсоюз работников образования Литвы
2723,ПРП,пост радиоперехвата
2724,ПРП,природно-ресурсный потенциал
2725,ПРП,приёмно-раздаточный патрубок
2726,ПРП,природные растительные продукты
2727,ПРП,поставившие на рационализм и порядок
2728,ПРП,"подвижный разведывательный пост;
подвижный разведывательный пункт"
2729,ПРП,Подлинная революционная партия
2730,ПРП,приёмный радиопункт
2731,ПРП,пространственно-разнесённый приём
2732,ПРП,правила работы с персоналом
2733,ПРП,производственно-ремонтное предприятие
2734,ПРП,Приднестровская республиканская партия
2735,ПРП,план реализации проекта
2736,ПРП,помощник руководителя полётов
2737,ПРП,партия «Реформы и порядок»
2738,ПРП,пуско-ремонтное предприятие
2739,ПРП,пенициллинорезистентный пневмококк
2740,ПРП,Партия развития предпринимательства
2741,ПРП,Печорское речное пароходство
2742,ПРП,поисково-разведочная партия
2743,ПРП,"подсистема ведения реестра продукции, поставляемой по городскому заказу"
2744,ПРП,приоритетный региональный проект
2745,ПРП,«Памятники русского права»
2746,ПРП,пресс-подборщик рулонный прицепной
2747,ПРТ,предельный регулятор температуры
2748,ПРТ,психорегулирующая тренировка
2749,ПРТ,привод регулирования тяги
2750,ПРТ,предприятие розничной торговли
2751,ПРТ,пластинчато-ребристый теплообменник
2752,ПРТР,полк радиотехнической разведки
2753,ПРУ,противорадиационное укрытие
2754,ПРУ,приёмо-раздаточное устройство
2755,ПРУ,пускорегулирующее устройство
2756,ПРУ,"приказы, расстрелы, убийства"
2757,ПРУ,противоразгрузочное устройство
2758,ПРУ,программная регулировка усиления
2759,ПРУ,полуавтоматический регулятор усиления
2760,ПРУ,Печорское речное училище
2761,ПРУ,Пермское речное училище
2762,ПРУ,передвижная рентгеновская установка
2763,ПРУ,погрузочно-разгрузочный участок
2764,ПС,"передача сообщения
передача сообщений"
2765,ПС,пост скриптум
2766,ПС,полярное сияние
2767,ПС,Питерсофт
2768,ПС,привлечённые средства
2769,ПС,перекачивающая станция
2770,ПС,прозрачный самолёт
2771,ПС,преобразователь сварочный
2772,ПС,природная среда
2773,ПС,перевод строки
2774,ПС,преобразователь струнный
2775,ПС,переходная система
2776,ПС,"производственная санитария;
промышленная санитария"
2777,ПС,привод соленоидный
2778,ПС,продукт сгорания
2779,ПС,псевдослучайный
2780,ПС,пост связи
2781,ПС,провод стальной
2782,ПС,«Правда Севера»
2783,ПС,пограничная стража
2784,ПС,паркинсонический синдром
2785,ПС,плужной снегоочиститель
2786,ПС,пинаколиновый спирт
2787,ПС,пограничная станция
2788,ПС,«Православный Собеседник»
2789,ПС,полковой склад
2790,ПС,протравливатель семян
2791,ПС,Правый сектор
2792,ПС,паспорт сделки
2793,ПС,планирование семьи
2794,ПС,полевая служба
2795,ПС,полуспокойная сталь
2796,ПС,пейджинговая связь
2797,ПС,потенциал скважины
2798,ПС,получатель сообщения
2799,ПС,"подпорная стена;
подпорная стенка"
2800,ПС,пригласительный сигнал
2801,ПС,полиэфирные смолы
2802,ПС,посадочная ступень
2803,ПС,прицельная система
2804,ПС,постоянный совет
2805,ПС,подводные силы
2806,ПС,пункт сбора
2807,ПС,проблемная среда
2808,ПС,публичные слушания
2809,ПС,поляризация собственная
2810,ПС,подвижной состав
2811,ПС,погрузочная станция
2812,ПС,пограничное судно
2813,ПС,полярное сопротивление
2814,ПС,питательная среда
2815,ПС,поисковая система
2816,ПС,простейший спутник
2817,ПС,полк связи
2818,ПС,принцип суперпозиции
2819,ПС,погрузчик свёклы
2820,ПС,приборостроительный факультет
2821,ПС,приборостроительный
2822,ПС,[каротаж] потенциалов самопроизвольной [поляризации]
2823,ПС,пиротехнический состав
2824,ПС,пассажирский самолёт
2825,ПС,полеводческая станция
2826,ПС,продольное сращивание
2827,ПС,полистирол
2828,ПС,поправка на смещение
2829,ПС,«Парфюм стандарт»
2830,ПС,посыльное судно
2831,ПС,поражение слуха
2832,ПС,"потребительский союз;
потребсоюз"
2833,ПС,панкреатоскопия
2834,ПС,правила стрельбы
2835,ПС,приёмник синхросигнала
2836,ПС,профильная система
2837,ПС,"профессиональный стандарт
профессиональные стандарты"
2838,ПС,пропускная способность
2839,ПС,Партия справедливости
2840,ПС,парк сортировки
2841,ПС,пользовательское соглашение
2842,ПС,схема подстанций
2843,ПС,постоянный секретариат
2844,ПС,подвижная станция
2845,ПС,проводка счёта-фактуры
2846,ПС,перекрёстное субсидирование
2847,ПС,пусковое сопротивление
2848,ПС,Парламентское собрание
2849,ПС,Партия самоуправления
2850,ПС,самопроизвольная (спонтанная) поляризация
2851,ПС,Партия свободы
2852,ПС,подушка сорбирующая
2853,ПС,полотенцесушитель
2854,ПС,пусковая система
2855,ПС,"начальник путеобследовательских дефектоскопных, тоннельно-обследовательских, мостоиспытательных станций и путеизмерительных вагонов"
2856,ПС,паровично-спекающийся
2857,ПС,пункт связи
2858,ПС,платёжная система
2859,ПС,пограничный слой
2860,ПС,плавучая станция
2861,ПС,петролатум селективный
2862,ПС,портовое средство
2863,ПС,персональная система
2864,ПС,перегрузочная станция
2865,ПС,первоначальная стоимость
2866,ПС,постоянное соединение
2867,ПС,пеньковая сухая
2868,ПС,панель стеновая
2869,ПС,«положение сомнительно»
2870,ПС,плейстонная сеть Савилова
2871,ПС,паронит специальный
2872,ПС,перфоратор сверлящий
2873,ПС,пресс-служба
2874,ПС,программные средства
2875,ПС,прокатный стан
2876,ПС,преступное сообщество
2877,ПС,пожарная сигнализация
2878,ПС,пост секционирования
2879,ПС,пурпурное стекло
2880,ПС,свеклопогрузчик
2881,ПС,почтовый самолёт
2882,ПС,прямое сообщение
2883,ПС,парашютная система
2884,ПС,промежуточный сосуд
2885,ПС,Партия союза
2886,ПС,палата советников
2887,"ПС, ПСб",«Палестинский сборник»
2888,"ПС, ПУЛЬС",пулевая стрельба
2889,"ПС, ССПО",средства связи с подвижными объектами
2890,"ПС, п/ст",подстанция
2891,"ПС, пс",право собственности
2892,ПС-,плата соединительная
2893,ПСБ,пеностирольный блок
2894,ПСБ,получатель средств бюджета
2895,ПСБ,Приднестровский сберегательный банк
2896,ПСБ,пресс-подборщик сена с боковой подачей
2897,ПСБ,Первая строительная база
2898,ПСБ,пенициллиносвязывающий белок
2899,ПСБ,Патриотический союз Бонайре
2900,ПСБ,Промсвязьбанк
2901,ПСБ,проектно-сметное бюро
2902,ПСБ,проектно-строительное бюро
2903,ПСБ,Промышленный страховой брокер
2904,ПСБ,Примсоцбанк
2905,ПСБ,Промсервисбанк
2906,ПСП,подсистема сбора платы
2907,ПСП,подготовительная стадия проекта
2908,ПСП,Предприятие строительных поставок
2909,ПСП,плодородный слой почвы
2910,ПСП,"приёмо-сдаточный пункт
приёмно-сдаточный пункт"
2911,ПСП,пожарно-строевая подготовка
2912,ПСП,пригородное сельское поселение
2913,ПСП,постсинаптический потенциал
2914,ПСП,подборщик-стогообразователь пневматический
2915,ПСП,пункт сдачи-приёма
2916,ПСП,положение о структурном подразделении
2917,ПСП,поисково-спасательное подразделение
2918,ПСП,постсоветское пространство
2919,ПСП,политика сложности пароля
2920,ПСП,полуавтоматическая сортплощадка
2921,ПСП,промежуточная стойка переключений
2922,ПСП,программа содействия парламенту
2923,ПСП,производственно-строительное предприятие
2924,ПСП,Пацифистская социалистическая партия
2925,ПСП,перегружатель скребковый передвижной
2926,ПСП,Партия свободы и прогресса
2927,ПСП,Прогрессивно-социалистическая партия
2928,ПСП,Пуэрториканская социалистическая партия
2929,ПСП,Португальская социалистическая партия
2930,ПСП,прибор слепой посадки
2931,ПСП,промежуточный сборный пункт
2932,ПСП,плита средней плотности
2933,ПСП,Пакистанская социалистическая партия
2934,ПСП,первый самостоятельный полёт
2935,ПСП,показатель состояния плода
2936,ПСП,полиэтилен средней плотности
2937,ПСП,псевдослучайная последовательность
2938,ПСП,предельный срок потребления
2939,ПСП,подразделение судебных приставов
2940,ПСП,Партия свободных предпринимателей
2941,ПСП,пожарно-спасательное подразделение
2942,ПСП,проектно-строительное предприятие
2943,ПСП,Правила совместного плавания
2944,ПСП,пункт сбора пострадавших
2945,ПСП,Петербургский страховой партнёр
2946,ПСП,переходно-скоростная полоса
2947,ПСП,Первое свободное поколение
2948,"ПСП, ПСП РФ–ЕС",Постоянный совет партнёрства Россия-Европейский союз
2949,ПСП-,прилавок для столовых приборов
2950,ПСС,простое складское свидетельство
2951,ПСС,промышленность средств связи
2952,ПСС,передвижная спутниковая станция
2953,ПСС,персональная сотовая связь
2954,ПСС,полистиролсульфоновая кислота
2955,ПСС,предупреждение столкновения судов на море
2956,ПСС,«Персональные сотовые сети»
2957,ПСС,подвижная спутниковая связь
2958,ПСС,пожарно-сторожевая служба
2959,ПСС,поисково-спасательная станция
2960,ПСС,Постоянный совместный совет
2961,ПСС,противостолбнячная сыворотка
2962,ПСС,пистолет специальный самозарядный
2963,ПСС,постанционная служебная связь
2964,ПСС,поисково-спасательное судно
2965,ПСС,продление срока службы
2966,ПСС,прогрессирующая системная склеродермия
2967,ПСС,"песчано-соляная смесь
песко-соляная смесь"
2968,ПСС,Передовые системы самообслуживания
2969,ПСС,Парламентское Собрание Союза России и Белоруссии
2970,ПСС,причинно-следственная связь
2971,ПСС,пенсионное страховое свидетельство
2972,ПСС,поисково-спасательная служба
2973,ПСС,производственная система Сбербанка
2974,ПСС,продолжительность солнечного сияния
2975,ПСС,Прогрессивный союз Сенегала
2976,ПСС,певец сладострастия и соития
2977,ПСС,Партия социальной справедливости
2978,ПСС,пиковая систолическая скорость
2979,ПСС,подвижная спутниковая служба
2980,ПСС,«Персональные системы связи»
2981,ПСС,поисковая справочная система
2982,ПСС,подъёмник стреловой самоходный
2983,ПСС,персонифицированный социальный счёт
2984,ПСС,полное собрание сочинений
2985,ПСС,плотность сетки скважин
2986,ПСС,первичный сетевой стык
2987,"ПСС, ПС",противосудорожное средство
2988,ПСТ,пуля со стальным сердечником
2989,ПСТ,проекционное световое табло
2990,ПСТ,Партия самоуправления трудящихся
2991,ПСТ,«Первый строительный трест»
2992,ПСТ,Промышленно-строительное товарищество
